X - .MC:I	Y - .MC:I	
-0.66899	-185.7	
-0.66763	-165.7	
-0.66763	-130.7	
-0.66628	-120.7	
-0.66628	-170.7	
-0.66493	-175.7	
-0.66493	-120.7	
-0.66357	-125.7	
-0.66357	-170.7	
-0.66222	-170.7	
-0.66222	-125.7	
-0.66086	-115.7	
-0.66086	-175.7	
-0.65951	-170.7	
-0.65951	-125.7	
-0.65815	-125.7	
-0.65815	-170.7	
-0.6568	-165.7	
-0.6568	-125.7	
-0.65545	-125.7	
-0.65545	-185.7	
-0.65409	-170.7	
-0.65409	-125.7	
-0.65274	-120.7	
-0.65274	-175.7	
-0.65138	-190.7	
-0.65138	-115.7	
-0.65003	-110.7	
-0.65003	-180.7	
-0.64868	-170.7	
-0.64868	-125.7	
-0.64732	-130.7	
-0.64732	-170.7	
-0.64597	-170.7	
-0.64597	-125.7	
-0.64461	-115.7	
-0.64461	-180.7	
-0.64326	-175.7	
-0.64326	-120.7	
-0.64191	-105.7	
-0.64191	-180.7	
-0.64055	-170.7	
-0.64055	-115.7	
-0.63919	-130.7	
-0.63919	-165.7	
-0.63784	-170.7	
-0.63784	-125.7	
-0.63649	-125.7	
-0.63649	-175.7	
-0.63513	-170.7	
-0.63513	-120.7	
-0.63378	-120.7	
-0.63378	-175.7	
-0.63242	-185.7	
-0.63242	-125.7	
-0.63107	-120.7	
-0.63107	-175.7	
-0.62972	-165.7	
-0.62972	-120.7	
-0.62836	-130.7	
-0.62836	-180.7	
-0.62701	-170.7	
-0.62701	-125.7	
-0.62565	-125.7	
-0.62565	-170.7	
-0.6243	-175.7	
-0.6243	-120.7	
-0.62294	-130.7	
-0.62294	-170.7	
-0.62159	-180.7	
-0.62159	-115.7	
-0.62023	-125.7	
-0.62023	-175.7	
-0.61888	-170.7	
-0.61888	-125.7	
-0.61753	-130.7	
-0.61753	-170.7	
-0.61617	-170.7	
-0.61617	-120.7	
-0.61482	-120.7	
-0.61482	-175.7	
-0.61347	-185.7	
-0.61347	-130.7	
-0.61211	-120.7	
-0.61211	-175.7	
-0.61075	-170.7	
-0.61075	-125.7	
-0.6094	-125.7	
-0.6094	-165.7	
-0.60805	-170.7	
-0.60805	-125.7	
-0.60669	-125.7	
-0.60669	-180.7	
-0.60534	-185.7	
-0.60534	-120.7	
-0.60399	-125.7	
-0.60399	-170.7	
-0.60263	-170.7	
-0.60263	-125.7	
-0.60127	-125.7	
-0.60127	-185.7	
-0.59992	-170.7	
-0.59992	-110.7	
-0.59857	-130.7	
-0.59857	-180.7	
-0.59721	-170.7	
-0.59721	-130.7	
-0.59586	-125.7	
-0.59586	-170.7	
-0.5945	-170.7	
-0.5945	-125.7	
-0.59315	-125.7	
-0.59315	-170.7	
-0.5918	-170.7	
-0.5918	-115.7	
-0.59044	-110.7	
-0.59044	-170.7	
-0.58909	-170.7	
-0.58909	-125.7	
-0.58773	-125.7	
-0.58773	-165.7	
-0.58637	-170.7	
-0.58637	-115.7	
-0.58502	-125.7	
-0.58502	-165.7	
-0.58367	-170.7	
-0.58367	-120.7	
-0.58231	-120.7	
-0.58231	-175.7	
-0.58096	-175.7	
-0.58096	-110.7	
-0.57961	-125.7	
-0.57961	-170.7	
-0.57825	-180.7	
-0.57825	-130.7	
-0.57689	-125.7	
-0.57689	-165.7	
-0.57554	-175.7	
-0.57554	-120.7	
-0.57419	-115.7	
-0.57419	-180.7	
-0.57283	-175.7	
-0.57283	-130.7	
-0.57148	-130.7	
-0.57148	-185.7	
-0.57013	-175.7	
-0.57013	-115.7	
-0.56877	-125.7	
-0.56877	-165.7	
-0.56741	-170.7	
-0.56741	-125.7	
-0.56606	-125.7	
-0.56606	-175.7	
-0.56471	-175.7	
-0.56471	-125.7	
-0.56336	-120.7	
-0.56336	-170.7	
-0.562	-170.7	
-0.562	-125.7	
-0.56065	-120.7	
-0.56065	-175.7	
-0.55929	-180.7	
-0.55929	-125.7	
-0.55793	-125.7	
-0.55793	-180.7	
-0.55658	-165.7	
-0.55658	-125.7	
-0.55523	-120.7	
-0.55523	-180.7	
-0.55387	-200.7	
-0.55387	-120.7	
-0.55252	-125.7	
-0.55252	-175.7	
-0.55117	-170.7	
-0.55117	-115.7	
-0.54981	-110.7	
-0.54981	-180.7	
-0.54845	-170.7	
-0.54845	-125.7	
-0.5471	-130.7	
-0.5471	-170.7	
-0.54575	-175.7	
-0.54575	-125.7	
-0.54439	-125.7	
-0.54439	-175.7	
-0.54304	-180.7	
-0.54304	-125.7	
-0.54169	-115.7	
-0.54169	-165.7	
-0.54033	-180.7	
-0.54033	-110.7	
-0.53897	-125.7	
-0.53897	-185.7	
-0.53762	-180.7	
-0.53762	-130.7	
-0.53627	-120.7	
-0.53627	-165.7	
-0.53492	-175.7	
-0.53492	-120.7	
-0.53356	-120.7	
-0.53356	-175.7	
-0.53221	-170.7	
-0.53221	-120.7	
-0.53085	-115.7	
-0.53085	-165.7	
-0.52949	-170.7	
-0.52949	-130.7	
-0.52814	-125.7	
-0.52814	-180.7	
-0.52679	-170.7	
-0.52679	-125.7	
-0.52543	-125.7	
-0.52543	-170.7	
-0.52408	-170.7	
-0.52408	-120.7	
-0.52272	-120.7	
-0.52272	-180.7	
-0.52137	-185.7	
-0.52137	-115.7	
-0.52001	-110.7	
-0.52001	-175.7	
-0.51866	-180.7	
-0.51866	-125.7	
-0.51731	-125.7	
-0.51731	-170.7	
-0.51595	-190.7	
-0.51595	-120.7	
-0.5146	-115.7	
-0.5146	-170.7	
-0.51325	-195.7	
-0.51325	-120.7	
-0.51189	-125.7	
-0.51189	-175.7	
-0.51053	-185.7	
-0.51053	-115.7	
-0.50918	-125.7	
-0.50918	-180.7	
-0.50783	-170.7	
-0.50783	-130.7	
-0.50647	-125.7	
-0.50647	-170.7	
-0.50512	-170.7	
-0.50512	-115.7	
-0.50377	-115.7	
-0.50377	-180.7	
-0.50241	-190.7	
-0.50241	-130.7	
-0.50105	-120.7	
-0.50105	-185.7	
-0.4997	-180.7	
-0.4997	-120.7	
-0.49835	-130.7	
-0.49835	-170.7	
-0.49699	-185.7	
-0.49699	-130.7	
-0.49564	-120.7	
-0.49564	-175.7	
-0.49428	-175.7	
-0.49428	-125.7	
-0.49293	-120.7	
-0.49293	-175.7	
-0.49157	-180.7	
-0.49157	-105.7	
-0.49022	-125.7	
-0.49022	-170.7	
-0.48887	-185.7	
-0.48887	-125.7	
-0.48751	-125.7	
-0.48751	-175.7	
-0.48616	-170.7	
-0.48616	-125.7	
-0.4848	-125.7	
-0.4848	-170.7	
-0.48345	-195.7	
-0.48345	-125.7	
-0.4821	-125.7	
-0.4821	-170.7	
-0.48074	-180.7	
-0.48074	-120.7	
-0.47939	-130.7	
-0.47939	-165.7	
-0.47804	-165.7	
-0.47804	-130.7	
-0.47668	-130.7	
-0.47668	-170.7	
-0.47533	-175.7	
-0.47533	-120.7	
-0.47397	-120.7	
-0.47397	-165.7	
-0.47261	-170.7	
-0.47261	-120.7	
-0.47126	-105.7	
-0.47126	-185.7	
-0.46991	-185.7	
-0.46991	-115.7	
-0.46855	-120.7	
-0.46855	-185.7	
-0.4672	-165.7	
-0.4672	-125.7	
-0.46585	-115.7	
-0.46585	-170.7	
-0.46449	-170.7	
-0.46449	-125.7	
-0.46314	-125.7	
-0.46314	-175.7	
-0.46178	-175.7	
-0.46178	-120.7	
-0.46043	-115.7	
-0.46043	-185.7	
-0.45907	-170.7	
-0.45907	-130.7	
-0.45772	-125.7	
-0.45772	-170.7	
-0.45637	-180.7	
-0.45637	-130.7	
-0.45501	-120.7	
-0.45501	-170.7	
-0.45366	-180.7	
-0.45366	-125.7	
-0.4523	-125.7	
-0.4523	-170.7	
-0.45095	-180.7	
-0.45095	-115.7	
