X - .MC:V	Y - .MC:V	
-0.5471	-18.75	
-0.54575	-19.37	
-0.54575	-11.25	
-0.54439	-11.87	
-0.54439	-21.25	
-0.54304	-21.25	
-0.54304	-11.87	
-0.54169	-10.62	
-0.54169	-22.5	
-0.54033	-18.75	
-0.54033	-12.5	
-0.53897	-11.87	
-0.53897	-19.37	
-0.53762	-20	
-0.53762	-12.5	
-0.53627	-11.87	
-0.53627	-21.87	
-0.53492	-20.62	
-0.53492	-11.25	
-0.53356	-11.87	
-0.53356	-20.62	
-0.53221	-18.75	
-0.53221	-11.25	
-0.53085	-11.25	
-0.53085	-22.5	
-0.52949	-19.37	
-0.52949	-12.5	
-0.52814	-12.5	
-0.52814	-20	
-0.52679	-19.37	
-0.52679	-12.5	
-0.52543	-12.5	
-0.52543	-17.5	
-0.52408	-19.37	
-0.52408	-11.87	
-0.52272	-12.5	
-0.52272	-19.37	
-0.52137	-20	
-0.52137	-10.62	
-0.52001	-11.87	
-0.52001	-21.25	
-0.51866	-18.75	
-0.51866	-11.87	
-0.51731	-12.5	
-0.51731	-18.75	
-0.51595	-21.87	
-0.51595	-11.25	
-0.5146	-13.12	
-0.5146	-20	
-0.51325	-19.37	
-0.51325	-11.87	
-0.51189	-11.25	
-0.51189	-18.75	
-0.51053	-20.62	
-0.51053	-11.87	
-0.50918	-12.5	
-0.50918	-18.75	
-0.50783	-19.37	
-0.50783	-11.25	
-0.50647	-11.25	
-0.50647	-19.37	
-0.50512	-21.25	
-0.50512	-12.5	
-0.50377	-11.87	
-0.50377	-22.5	
-0.50241	-20.62	
-0.50241	-12.5	
-0.50105	-11.87	
-0.50105	-20	
-0.4997	-19.37	
-0.4997	-9.373	
-0.49835	-11.87	
-0.49835	-21.87	
-0.49699	-21.87	
-0.49699	-13.75	
-0.49564	-11.87	
-0.49564	-21.87	
-0.49428	-21.25	
-0.49428	-13.12	
-0.49293	-10.62	
-0.49293	-20.62	
-0.49157	-22.5	
-0.49157	-11.87	
-0.49022	-13.12	
-0.49022	-21.25	
-0.48887	-18.75	
-0.48887	-13.12	
-0.48751	-13.75	
-0.48751	-19.37	
-0.48616	-18.75	
-0.48616	-12.5	
-0.4848	-11.87	
-0.4848	-19.37	
-0.48345	-21.87	
-0.48345	-12.5	
-0.4821	-12.5	
-0.4821	-19.37	
-0.48074	-19.37	
-0.48074	-11.87	
-0.47939	-12.5	
-0.47939	-19.37	
-0.47804	-19.37	
-0.47804	-11.87	
-0.47668	-12.5	
-0.47668	-19.37	
-0.47533	-20	
-0.47533	-12.5	
-0.47397	-12.5	
-0.47397	-18.12	
-0.47261	-20	
-0.47261	-13.12	
-0.47126	-12.5	
-0.47126	-19.37	
-0.46991	-23.75	
-0.46991	-11.87	
-0.46855	-12.5	
-0.46855	-19.37	
-0.4672	-18.75	
-0.4672	-12.5	
-0.46585	-13.12	
-0.46585	-19.37	
-0.46449	-20	
-0.46449	-13.12	
-0.46314	-11.87	
-0.46314	-20	
-0.46178	-20.62	
-0.46178	-11.25	
-0.46043	-12.5	
-0.46043	-19.37	
-0.45907	-19.37	
-0.45907	-12.5	
-0.45772	-12.5	
-0.45772	-18.75	
-0.45637	-23.12	
-0.45637	-14.37	
-0.45501	-13.12	
-0.45501	-20	
-0.45366	-19.37	
-0.45366	-12.5	
-0.4523	-10.62	
-0.4523	-18.75	
